term,count
Excel,15
Canva,14
Microsoft Excel,8
Microsoft Word,3
Photoshop,3
UPS,2
Spatie,2
Figma prototype,2
Spatie Laravel Permission,2
UI prototypes,2
Ul prototypes,2
wavecom GSM modem,2
6-hour auto-logout feature,2
SRS,2
QRIAS feedback system,2
actual IT field,2
"Microsoft
Excel",2
PESO office book,2
PESO office,2
Excel file,2
"large
target 250 copies",2
basic UI/UX principles,2
Police Clearance desk,2
Memorial Park Brochure,2
MS Excel,1
User,1
"
Calendar card",1
Software Requirements,1
"multiple projects
Assurance",1
"madern
React Ul components",1
SMS OTP madule,1
Al,1
4-port GSM modem,1
Office Admins,1
Security measurements,1
React Bits,1
tricabQR,1
full-system QA,1
real-time GPS geojson tagging,1
I,1
Blender,1
Arjie,1
"technical
Printing maintenance",1
Philippine E-Journal website,1
"Philippine E-Journal
website",1
"e e
CHECKING",1
TARPAULIN DESIGN LAYOUT,1
DESIGN LAYOUT,1
"Excel
features",1
SIMPLE INTERACTIVE FEATURES,1
DESIGN,1
"
Google Drive folder",1
"Google Drive
folder",1
Flutter framework,1
Flutter,1
Flutter Ul,1
OTP feature,1
GSM modem,1
OTP,1
TricabQR system,1
MENRO,1
QA sheet,1
TaxMap project,1
Cover page,1
"PESO office
book",1
CIF contact information,1
CIF,1
Vibrant Research,1
Ma'am Queen,1
Document Bridging Understood,1
Holiday,1
WiFi Troubleshooting,1
Batch Upload,1
Gained understanding,1
Evaluation Monitoring module,1
Google Apps Script,1
"AJAX
system",1
IT knowledge,1
"that
PESO book",1
PESO book,1
basic Excel formulas,1
"IT
nowledge",1
"molding
Set",1
Algenerated faces,1
Excel unclear penmanship,1
Excol,1
"Police E-Clearance
system",1
Gemini API,1
good Ul,1
MySQL syntax,1
Resume Builder,1
"contact inquirt
Connect inquiry",1
Peso email,1
800 identification cards,1
"QR
code system",1
"12
advertisement videos",1
"sensitive
Joan departme documents",1
Supabase,1
GitHub account,1
BCMPC credentials,1
Online PMES,1
"Cooperative
Pledge project",1
Lupang Hinirang presentation,1
smoothl B,1
Helping students,1
"
Cleaning unnecessa
E",1
Clearance,1
"| T
system stability",1
SMTP services,1
full CRUD operations,1
OJT Hours Tracking System,1
backend API fetching,1
Git branching,1
medicine Maintained consistency,1
| Continued routine duties,1
iClinicSys,1
"accurate
Refilled medicines",1
RHU Annex,1
Alae,1
DGEC,1
PowerPoinl presentation,1
SAS Messenger core logic,1
Firebase,1
Administrative Attendance Viewer,1
dedicated Attendanc,1
HTML email template engine,1
Mailer,1
Attendance Database,1
SQL policies,1
Masterlist Data Manager,1
PDF parsing engine,1
Google Analytics,1
better Ul faster filtering,1
"SAS Masterlist
database",1
"Canva
e",1
"Canva
o",1
10 inform,1
"workload
Supported encoding",1
Assisted,1
"smoothly
Ongoing system development",1
"computer-1
Hardware maintenance",1
Facebook Nutri-Game,1
"Facebook weekly Nutri-Game
(comments",1
"Facebook weekly Nutri-Game
comments",1
gs;slsgs d| CNO staff,1
"
NutriMap system",1
"InfinityFree web
hosting platform",1
Certificate,1
Importance,1
"canva
Encode resita",1
"office
Encode",1
Consulting,1
"
Inventory system",1
accurate I files,1
| Technical Team Day,1
Troubleshoot,1
Transcribe,1
IT,1
"Capstone Showcase
Fixing Code",1
"
files
Preparation",1
Management,1
InfinityFree,1
mobile-responsive CSS,1
Admin module,1
Admin Login module,1
PDF files,1
"map coordinates
peavt G",1
"simple PowerPoint
presentation",1
Half Day Work,1
Scan Flow System,1
"in-and-out documentation
Pprocess",1
"Scan Flow
System",1
"Scan
Flow System",1
"scanflow
Monday",1
ID,1
IDs,1
ROUTING,1
ID creation,1
"1D
creation",1
Assembling PC,1
"core
Clearance features",1
"
PESO book",1
"next
Ppages",1
JobStart video,1
GmauIApp scrlpt,1
Express,1
Prisma,1
core API routes,1
Igst,1
Vite,1
3 Goagle Sheets,1
Gemini,1
SYSTEM development,1
QR code,1
UPDATE SYSTEM DEVELOPED,1
"
' CONTINUATION",1
CapCut,1
Photoshop features,1
Ilearned,1
Video script,1
"Day 3
coverage",1
RFO database,1
"Database
system",1
Database Assisted,1
"member
Updating CIF",1
"org
STRUCTURE structure",1
"Ma'am Leonesa's new
PC",1
"3
design",1
"Excel
Tables",1
Confidentiality,1
Encoded Data,1
"Philppines
Mbaagdn Fostich",1
Services compassion,1
Posters,1
Text Elements,1
Poster,1
Memorial Park patience,1
CCTV cameras,1
"
Installing wiring",1
A7,1
Apache,1
Configured Composer,1
"system
Prepared system",1
Assisted clients,1
"Local
Profile Form",1
"
Local Profile Form",1
Local Profile Form,1
Compiled list,1
Checking SPES Examination,1
SPES ID,1
Barangay Tankulan General Cleaning,1
"RFO
database",1
"PowerPoint
presentations",1
PowerPoint presentations,1
Hand Washing fiyer,1
Development (GAD) Plan,1
3 bond papers,1
only 1 bond paper,1
just 1 bond paper,1
CapCut demonstraling,1
"
eGov PH application",1
PhilHealth Check Utility System,1
"PC printer
settings",1
"pra
Assessment Forms",1
AIA,1
PhilHealth Check Utility,1
Starlink system,1
PPMP,1
Smart TV,1
"
PPMP",1
capstone UL,1
Vite errors,1
Livewire,1
Terms,1
LGU data,1
POST,1
"SLA processing
tracking",1
SystemLogs pagination,1
"dynamic URL query
parameters",1
standardized Order,1
Alpine x,1
AlpineJS,1
"Droplet
honorarium",1
CSS mask composites,1
CRUD functions,1
MENRO project,1
"Manolo Fortich
boundaries",1
PESO admin dashboard,1
"
Jobseeker dashboard",1
Google Forms,1
Improvement,1
Ul design,1
"
PESO admin dashboard",1
Ul,1
